invoice_id,transaction_id,amount,date,merchant
inv_pay_0001,pay_0001,7020.73,2026-07-18,Northwind Traders
inv_pay_0002,pay_0002,2741.88,2026-07-18,Zenith Fitness
inv_pay_0003,pay_0003,10663.66,2026-07-08,Wren & Co
inv_pay_0004,pay_0004,5969.99,2026-06-14,Blue Leaf Cafe
inv_pay_0005,pay_0005,5131.17,2026-07-06,Marigold Textiles
inv_pay_0006,pay_0006,11340.38,2026-06-15,Wren & Co
inv_pay_0007,pay_0007,20184.32,2026-07-19,Harbor Books
inv_pay_0008,pay_0008,4055.89,2026-06-18,Terra Foods
inv_pay_0009,pay_0009,9622.2,2026-06-06,Cloudline SaaS
inv_pay_0010,pay_0010,6760.12,2026-07-09,Cloudline SaaS
inv_pay_0011,pay_0011,3295.69,2026-07-05,Blue Leaf Cafe
inv_pay_0012,pay_0012,7470.82,2026-07-06,Terra Foods
inv_pay_0013,pay_0013,4968.76,2026-07-07,Marigold Textiles
inv_pay_0014,pay_0014,5851.88,2026-07-13,Northwind Traders
inv_pay_0015,pay_0015,5973.21,2026-07-25,Harbor Books
inv_pay_0016,pay_0016,11444.58,2026-06-18,Northwind Traders
inv_pay_0017,pay_0017,9010.71,2026-06-24,Cloudline SaaS
inv_pay_0018,pay_0018,15947.46,2026-07-09,Harbor Books
inv_pay_0019,pay_0019,11664.05,2026-06-11,Wren & Co
inv_pay_0020,pay_0020,8242.21,2026-07-14,Harbor Books
inv_pay_0021,pay_0021,996.09,2026-07-23,Blue Leaf Cafe
inv_pay_0022,pay_0022,1841.48,2026-06-18,Cloudline SaaS
inv_pay_0023,pay_0023,16454.88,2026-06-14,Marigold Textiles
inv_pay_0024,pay_0024,6769.03,2026-06-10,Terra Foods
inv_pay_0025,pay_0025,14697.73,2026-07-18,Zenith Fitness
inv_pay_0026,pay_0026,5639.15,2026-06-24,Marigold Textiles
inv_pay_0027,pay_0027,18943.4,2026-06-06,Pixel Studio
inv_pay_0028,pay_0028,4167.55,2026-07-11,Northwind Traders
inv_pay_0029,pay_0029,9664.16,2026-06-25,Terra Foods
inv_pay_0030,pay_0030,21547.34,2026-07-06,Nova Electronics
inv_pay_0031,pay_0031,22142.75,2026-07-14,Blue Leaf Cafe
inv_pay_0032,pay_0032,7478.8,2026-06-08,Harbor Books
inv_pay_0033,pay_0033,23854.64,2026-06-01,Pixel Studio
