transaction_id,category,expected_status,expected_exception_type,expected_resolution,ground_truth_reason
pay_0001,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0002,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0003,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0004,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0005,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0006,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0007,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0008,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0009,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0010,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0011,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0012,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0013,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0014,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0015,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0016,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0017,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0018,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0019,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0020,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0021,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0022,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0023,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0024,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0025,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0026,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0027,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0028,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0029,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0030,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0031,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0032,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0033,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0034,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0035,CLEAN_MATCH,MATCHED,NONE,NO_ACTION,All three records agree.
pay_0036,FEE_DEDUCTION,EXCEPTION,FEE_DEDUCTION,AUTO_EXPLAIN,Platform fee of 125.19 deducted at settlement; matches fee policy.
